Numéro séquentiel,Date du compte,Numéro du fournisseur,Numéro de G/L comptes à payer,Numéro de facture du fournisseur,Description de la transaction,Montant total du compte,Solde à payer,Numéro de G/L (1),Montant applicable (G/L 1),Numéro de G/L (2),Montant applicable (G/L 2),Numéro de G/L (3),Montant applicable (G/L 3),Numéro de G/L (4),Montant applicable (G/L 4),Numéro de G/L (5),Montant applicable (G/L 5),Numéro de G/L (6),Montant applicable (G/L 6),Numéro de G/L (7),Montant applicable (G/L 7),Numéro de G/L (8),Montant applicable (G/L 8),Numéro de G/L (9),Montant applicable (G/L 9),Numéro de G/L (10),Montant applicable (G/L 10),Information - Ligne 1,Information - Ligne 2,Information - Ligne 3,Code d'identification,Nombre de postes supplémentaires ds GLSUP,Numéro de projet,Montant total de retenue,Solde de la retenue à payer,Numéro de G/L retenues à payer,Montant payé de TVQ sur retenues (taux 1),Montant payé de TVQ sur retenues (taux 2),Montant payé de TPS sur retenues,Calcul automatique de la taxe féd. (T/F),Calcul automatique de la taxe prov. (T/F),Conditions de paiement,Devise étrangère,No. de commande,Plusieurs commandes (T/F),Dénonciation de contrat,Niveau de taxe provinciale (1-21),Nom du fournisseur,PEXPORTGB,HASDOC,ACONECTID,ACONDATE,ACONTIME,PTOTSNAPX
042774,2018/12/12,CANAC-----,21300,813916,,186.13,0.00,21340,8.09,21370,16.15,33200,161.89,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,1.0000 151 3000,,,FALSE,FALSE,1,CANAC,FALSE,FALSE,0,,,0.00
042994,2018/12/12,METAUX-LAM,21300,146594,,200.47,0.00,21340,8.72,21370,17.39,33200,174.36,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,METAUX LAMY (1991) INC.,FALSE,FALSE,0,,,0.00
042685,2018/12/13,TISSUS-DEC,21300,111605,,26.89,0.00,21340,1.17,21370,2.33,33200,23.39,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018035,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,TISSUS & DECOR MARTINE RICHARD,FALSE,FALSE,0,,,0.00
042686,2018/12/13,COOPPLUS--,21300,212051,,3.61,0.00,21340,0.16,21370,0.31,33200,3.14,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018035,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042687,2018/12/13,LOC-ST-TIT,21300,23148,sm,941.65,0.00,21340,40.95,21370,81.70,42135,819.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LOCATION ST-TITE INC.,FALSE,FALSE,0,,,0.00
042688,2018/12/13,UNITED-REN,21300,163346605-001,,614.83,0.00,21340,26.74,21370,53.34,33200,534.75,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,UNITED RENTALS OF CANADA INC.,FALSE,FALSE,0,,,0.00
042705,2018/12/13,F-DAIGLE--,21300,160758,,-24.14,0.00,21340,-1.05,21370,-2.09,33200,-21.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SPECIALITES FERNAND DAIGLE INC. (LES),FALSE,FALSE,0,,,0.00
042706,2018/12/13,F-DAIGLE--,21300,160733,,85.31,0.00,21340,3.71,21370,7.40,33200,74.20,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SPECIALITES FERNAND DAIGLE INC. (LES),FALSE,FALSE,0,,,0.00
042708,2018/12/13,CHARLES-TU,21300,3949445,7127,352.63,0.00,21340,15.34,21370,30.59,42130,306.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,CHARLES TURCOTTE & FILS LTÉE,FALSE,FALSE,0,,,0.00
042709,2018/12/13,F-DAIGLE--,21300,160734,,96.58,0.00,21340,4.20,21370,8.38,33200,84.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,SPECIALITES FERNAND DAIGLE INC. (LES),FALSE,FALSE,0,,,0.00
042721,2018/12/13,F-DAIGLE--,21300,160760,,289.74,0.00,21340,12.60,21370,25.14,33200,252.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,SPECIALITES FERNAND DAIGLE INC. (LES),FALSE,FALSE,0,,,0.00
042722,2018/12/13,PEINT-DUPO,21300,10384,,8623.13,0.00,21340,375.00,21370,748.13,33500,7500.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,PEINTURES ROBERT DUPONT INC.,FALSE,FALSE,0,,,0.00
042730,2018/12/13,PEINT-DUPO,21300,10399,,16326.45,0.00,21340,710.00,21370,1416.45,33500,14200.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018034,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,PEINTURES ROBERT DUPONT INC.,FALSE,FALSE,0,,,0.00
042736,2018/12/13,GIVESCO---,21300,874249,,66.85,0.00,21340,2.91,21370,5.80,33200,58.14,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GIVESCO INC.,FALSE,FALSE,0,,,0.00
042737,2018/12/13,GIVESCO---,21300,874250,,66.85,0.00,21340,2.91,21370,5.80,33200,58.14,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GIVESCO INC.,FALSE,FALSE,0,,,0.00
042738,2018/12/13,GROUPE-SAN,21300,104979,,40.24,0.00,21340,1.75,21370,3.49,33200,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018034,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GROUPE SANI-TECH,FALSE,FALSE,0,,,0.00
042739,2018/12/13,GROUPE-SAN,21300,104926,,835.87,0.00,21340,36.35,21370,72.52,33200,727.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GROUPE SANI-TECH,FALSE,FALSE,0,,,0.00
042745,2018/12/13,COOPPLUS--,21300,211934,,12.66,0.00,21340,0.55,21370,1.10,33200,11.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042746,2018/12/13,COOPPLUS--,21300,211932,,182.97,0.00,21340,7.96,21370,15.87,33200,159.14,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042747,2018/12/13,COOPPLUS--,21300,211930,,11.75,0.00,21340,0.51,21370,1.02,33200,10.22,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042748,2018/12/13,LOC-ST-TIT,21300,23160,,39.08,0.00,21340,1.70,21370,3.39,42130,33.99,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LOCATION ST-TITE INC.,FALSE,FALSE,0,,,0.00
042751,2018/12/13,BELL-ENVIR,21300,511006061,,977.29,0.00,21340,42.50,21370,84.79,33200,850.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,BELLEMARE ENVIRONNEMENT,FALSE,FALSE,0,,,0.00
042754,2018/12/13,BELL-ENVIR,21300,511006062,,528.89,0.00,21340,23.00,21370,45.89,33200,460.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,BELLEMARE ENVIRONNEMENT,FALSE,FALSE,0,,,0.00
042759,2018/12/13,COOPPLUS--,21300,212378,,-138.19,0.00,21340,-6.01,21370,-11.99,33200,-120.19,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042760,2018/12/13,COOPPLUS--,21300,212386,,32.05,0.00,21340,1.39,21370,2.78,33200,27.88,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042768,2018/12/13,COOPPLUS--,21300,211981,,128.14,0.00,21340,5.57,21370,11.12,33200,111.45,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042769,2018/12/13,COOPPLUS--,21300,212383,,195.41,0.00,21340,8.50,21370,16.95,33200,169.96,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042780,2018/12/13,H-MATTEAU-,21300,01107381,,125.59,0.00,21340,5.46,21370,10.90,33200,109.23,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,1.0000 151 3000,,,FALSE,FALSE,1,RONA INC - H. MATTEAU,FALSE,FALSE,0,,,0.00
042781,2018/12/13,GR-BEDARD-,21300,9325025,,448.33,0.00,21340,19.50,21370,38.90,33200,389.93,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GROUPE BEDARD,FALSE,FALSE,0,,,0.00
042790,2018/12/13,F-DAIGLE--,21300,160759,,2161.07,0.00,21340,93.98,21370,187.49,33200,1879.60,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018029,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SPECIALITES FERNAND DAIGLE INC. (LES),FALSE,FALSE,0,,,0.00
042853,2018/12/13,BELANGER-S,21300,131218,,1421.10,0.00,21340,61.80,21370,123.29,42101,1236.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,BELANGER SAUVE AVOCATS,FALSE,FALSE,0,,,0.00
042978,2018/12/13,P-NAUD----,21300,2463102-3,,155.53,0.00,21340,6.76,21370,13.49,33200,135.28,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,1.0000 101  000,,,FALSE,FALSE,1,PIERRE NAUD INC.,FALSE,FALSE,0,,,0.00
042695,2018/12/14,COOPPLUS--,21300,212718,,-74.33,0.00,21340,-3.23,21370,-6.45,33200,-64.65,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018023,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042698,2018/12/14,PNEU-T-C--,21300,75247,,1399.25,0.00,21340,60.85,21370,121.40,42125,1217.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SERVICE DU PNEU TC 2001 INC.,FALSE,FALSE,0,,,0.00
042723,2018/12/14,BEAUSEJOUR,21300,Carb remb.,,422.85,0.00,21340,18.39,21370,36.69,42125,367.77,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018029,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,"BEAUSEJOUR, FRANCIS",FALSE,FALSE,0,,,0.00
042734,2018/12/14,COOPPLUS--,21300,212926,,342.06,0.00,21340,14.88,21370,29.68,33200,297.50,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018034,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042735,2018/12/14,ECHAF-PLUS,21300,04-227311,,48.62,0.00,21340,2.11,21370,4.22,33200,42.29,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,ECHAFAUDAGE PLUS (QUÉBEC) INC.,FALSE,FALSE,0,,,0.00
042771,2018/12/14,COOPPLUS--,21300,212986,,1557.65,0.00,21340,67.74,21370,135.14,33200,1354.77,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042850,2018/12/14,MACH-AB---,21300,102405,,7.84,0.00,21340,0.34,21370,0.68,42130,6.82,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MACHINERIE A.B. INC.,FALSE,FALSE,0,,,0.00
042742,2018/12/17,BFL-CANADA,21300,230271,,1244.78,0.00,33200,1244.78,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,BFL CANADA,FALSE,FALSE,0,,,0.00
042749,2018/12/17,SANSCARTIE,21300,KM aout-nov.,1428 km x .40 + stat.,573.20,0.00,21340,24.93,21370,49.73,42122,498.54,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,"SANSCARTIER, MARIO",FALSE,FALSE,0,,,0.00
042750,2018/12/17,PARENTEAU-,21300,remb. km,456 km x .40,182.40,0.00,21340,7.92,21370,15.83,42122,158.65,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,"PARENTEAU, DANIEL",FALSE,FALSE,0,,,0.00
042752,2018/12/17,ACCS------,21300,70135,,52489.02,0.00,21340,2282.63,21370,4553.84,33500,45652.55,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,ACCS LE GROUPE,FALSE,FALSE,0,,,0.00
042753,2018/12/17,MORIN-G---,21300,Costco,souris,40.46,0.00,21340,1.76,21370,3.51,42120,35.19,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,"MORIN, GUYLAINE",FALSE,FALSE,0,,,0.00
042755,2018/12/17,VENT-CJM--,21300,2241,,25581.94,0.00,21340,1112.50,21370,2219.44,33500,22250.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,VENTILATION CJM (9174-2262 QC INC.),FALSE,FALSE,0,,,0.00
042770,2018/12/17,COOPPLUS--,21300,213702,,2170.72,0.00,21340,94.40,21370,188.33,33200,1887.99,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042785,2018/12/17,COOPPLUS--,21300,213850,,83.19,0.00,21340,3.62,21370,7.22,33200,72.35,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042800,2018/12/17,G-DESCHENE,21300,30916,,15728.59,0.00,21340,684.00,21370,1364.58,33500,13680.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,G. DESCHENES & FILS INC.,FALSE,FALSE,0,,,0.00
042803,2018/12/17,G-DESCHENE,21300,30917,,379.42,0.00,21340,16.50,21370,32.92,33500,330.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,G. DESCHENES & FILS INC.,FALSE,FALSE,0,,,0.00
042809,2018/12/17,COOPPLUS--,21300,213636,,228.80,0.00,21340,9.95,21370,19.85,33200,199.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042844,2018/12/17,LOC-ST-TIT,21300,23228,,337.98,0.00,21340,14.70,21370,29.32,42135,293.96,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LOCATION ST-TITE INC.,FALSE,FALSE,0,,,0.00
042852,2018/12/17,SLM-EQUIPE,21300,12744,,463.52,0.00,21340,20.16,21370,40.21,42130,403.15,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SLM EQUIPEMENTS (9219-8142 EC INC.),FALSE,FALSE,0,,,0.00
042880,2018/12/17,P-NAUD----,21300,2464501-1,,152.05,0.00,21340,6.61,21370,13.19,33200,132.25,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018032,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,1.0000 101  000,,,FALSE,FALSE,1,PIERRE NAUD INC.,FALSE,FALSE,0,,,0.00
042902,2018/12/17,CANAC-----,21300,826445,,19.49,0.00,21340,0.85,21370,1.69,33200,16.95,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018033,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,1.0000 151 3000,,,FALSE,FALSE,1,CANAC,FALSE,FALSE,0,,,0.00
042936,2018/12/17,JEAN-SIMAR,21300,12636,,252.95,0.00,21340,11.00,21370,21.95,33200,220.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,JEAN SIMARD & FILS,FALSE,FALSE,0,,,0.00
043034,2018/12/17,COUVRE-MAG,21300,3,,4487.13,0.00,21340,195.14,21370,389.29,33500,3902.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018034,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,COUVRE-PLANCHERS MAGNAN INC.,FALSE,FALSE,0,,,0.00
043057,2018/12/17,H-P-TERRAS,21300,11106,,10952.53,0.00,21340,476.30,21370,950.22,33500,9526.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000017001,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,H.P. TERRASSEMENT (9006-3165- QC INC.),FALSE,FALSE,0,,,0.00
043058,2018/12/17,H-P-TERRAS,21300,11110,,5518.80,0.00,21340,240.00,21370,478.80,33500,4800.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000017001,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,H.P. TERRASSEMENT (9006-3165- QC INC.),FALSE,FALSE,0,,,0.00
042761,2018/12/18,ENTRE-A-M-,21300,33933,,5843.00,0.00,26115,5843.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ENTREPRISES A.M. INC. (LES),FALSE,FALSE,0,,,0.00
042763,2018/12/18,MARCHAND-J,21300,km nov-déc.18,,108.80,0.00,21340,4.73,21370,9.44,42122,94.63,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MARCHAND JEAN-PIERRE,FALSE,FALSE,0,,,0.00
042764,2018/12/18,PLOMB-BEAV,21300,153,,14371.88,0.00,21340,625.00,21370,1246.88,33500,12500.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018038,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,PLOMB. B. BROUILLETTE (9175-3731 QC INC.),FALSE,FALSE,0,,,0.00
042765,2018/12/18,MORIN-ROBE,21300,Trans. Boissonneau,remb. F2766,45.99,0.00,21340,2.00,21370,3.99,33200,40.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018036,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,"MORIN, ROBERT",FALSE,FALSE,0,,,0.00
042775,2018/12/18,PEINT-DUPO,21300,10425,,13953.37,0.00,21340,606.80,21370,1210.57,33500,12136.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018032,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,PEINTURES ROBERT DUPONT INC.,FALSE,FALSE,0,,,0.00
042783,2018/12/18,JEAN-CARON,21300,16416,,93440.18,0.00,21340,4063.50,21370,8106.68,33500,81270.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,JEAN CARON ET FILS INC.,FALSE,FALSE,0,,,0.00
042784,2018/12/18,TISSUS-DEC,21300,111661,,269.01,0.00,21340,11.70,21370,23.34,33200,233.97,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,TISSUS & DECOR MARTINE RICHARD,FALSE,FALSE,0,,,0.00
042791,2018/12/18,REF-PICARD,21300,1069.2,,81992.13,0.00,21340,3565.65,21370,7113.47,33500,71313.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018032,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,REFRIGERATION PICARD INC.,FALSE,FALSE,0,,,0.00
042802,2018/12/18,ECHAF-PLUS,21300,04-227327,,72.87,0.00,21340,3.17,21370,6.32,33200,63.38,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018014,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,ECHAFAUDAGE PLUS (QUÉBEC) INC.,FALSE,FALSE,0,,,0.00
042807,2018/12/18,COOPPLUS--,21300,214598,,32.05,0.00,21340,1.39,21370,2.78,33200,27.88,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042808,2018/12/18,COOPPLUS--,21300,214946,,153.00,0.00,21340,6.65,21370,13.27,33200,133.08,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COOP NOVAGO (LA),FALSE,FALSE,0,,,0.00
042811,2018/12/18,LOC-ST-TIT,21300,23253,,86.20,0.00,21340,3.75,21370,7.48,33200,74.97,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LOCATION ST-TITE INC.,FALSE,FALSE,0,,,0.00
042812,2018/12/18,ISOL-ARCTI,21300,2778,,7833.25,0.00,21340,340.65,21370,679.60,33500,6813.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,0000018022,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,TRUE,1,ISOLATION ARCTIQUE INC.,FALSE,FALSE,0,,,0.00
