Numéro de projet,Numéro de client (facturé),Numéro de client (livré à),Numéro du produit,Devise étrangère,Prix,Prix coûtant régulier ou prix de détail sugg.,Prix détail (T) / coûtant (F),Quantité à recevoir,Escompte - Pourcentage,Sous-total,Code de taxe provinciale,Code de taxe fédérale,Escompte - Montant fixe,Code de produit (fournisseur),Numéro séquentiel de la commande client,Numéro séquentiel de commande,Code d'activité,Description,Numéro de la ligne,Quantité reçue,Poste d'achat,Quantité commandée,Code identification unique,Numéro séquentiel,Numéro du fournisseur,Commande en retard (T/F),"Type de facturation (1=n/a, 2=cpte ouv., 3=réq.)",Activité d'attribution
0000022005,LIBERE-TOI,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001309,25001,DIRECTIVE A-20,001,4775.0000,33200,4775.0000,OJADYZTO7,0001291,VITRERIE-2,FALSE,3,
0000022020,CSS-CH-ROY,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001310,25001,DIRECTIVE E-02,001,850.0000,33500,850.0000,0BHAELXHD,0001292,MARC-COSSE,FALSE,3,
0000023010,CSS-ENERGI,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001312,25001,DIRECTIVE A-03,001,3031.0000,33500,3031.0000,TTYGBKCLK,0001294,PEINT-DUPO,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001315,,"SELON PLAN, DEVIS ET ADDENDA POUR CONSTRUCTION",001,0.0000,,0.0000,F2WU57TAE,0001295,VAL-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001315,,DE JACQUES ET GERVAIS ET ENERCO-GR.CONSEIL,002,0.0000,,0.0000,5SB0X2X1N,0001295,VAL-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,"....................,",,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001315,,BSDQ 100000925508,003,0.0000,,0.0000,AID9PEMDI,0001295,VAL-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001315,16000,ÉLECTRICITÉ,004,179125.0000,33500,179125.0000,SQ8OA1WR6,0001295,VAL-MAURIC,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001316,,"SELON PLAN, DEVIS ET ADDENDA POUR CONSTRUCTION",001,0.0000,,0.0000,VZYR51139,0001296,MULTI-ENER,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001316,,DE JACQUES ET GERVAIS ET ENERCO GROUPE CONSEIL,002,0.0000,,0.0000,ALI3CGSBF,0001296,MULTI-ENER,FALSE,3,
0000023019,FESTIVAL-W,,.....................,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000001316,,BSDQ 100000926172,003,0.0000,,0.0000,97Q1EMU9U,0001296,MULTI-ENER,FALSE,3,
0000023019,FESTIVAL-W,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000001316,15001,Ventilation,004,133000.0000,33500,133000.0000,K5B9484AO,0001296,MULTI-ENER,FALSE,3,
