Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000003014,00000,0.00,0.00,7644.07
0000003015,00000,0.00,0.00,19980.00
0000003016,02120,34.92,0.00,0.00
0000003017,00000,0.00,0.00,2305.50
0000003018,00000,0.12,0.00,5471.50
0000003019,00000,0.00,0.00,5310.00
0000003020,00400,5231.05,0.00,23231.05
0000003020,00401,0.00,0.00,3226.00
0000003020,02220,0.00,0.00,10323.20
0000003020,06100,0.00,0.00,1290.40
0000003020,07310,0.00,0.00,8387.60
0000003020,07460,0.00,0.00,45164.00
0000003020,08500,0.00,0.00,19356.00
0000003020,09000,0.00,0.00,3871.20
0000003020,09900,0.00,0.00,1935.60
0000003020,25001,0.00,0.00,10858.66
0000003021,00000,0.00,0.00,3530.00
0000003021,07400,453.50,0.00,0.00
0000003022,00000,0.00,0.00,57548.95
0000003022,15400,497.32,0.00,0.00
0000003023,00000,0.00,0.00,3260.00
0000003024,00401,0.00,0.00,2007.73
0000003024,01800,15.43,0.00,265.43
0000003024,02220,0.00,0.00,4226.80
0000003024,02800,0.00,0.00,2007.73
0000003024,05500,0.00,0.00,31829.92
0000003024,06100,0.00,0.00,25720.08
0000003024,08700,0.00,0.00,11563.47
0000003024,13000,0.00,0.00,45358.85
0000003025,00401,0.00,0.00,1546.02
0000003025,01800,55.25,0.00,580.25
0000003025,02220,0.00,0.00,4969.35
0000003025,03300,0.00,0.00,1043.56
0000003025,04000,0.00,0.00,5400.03
0000003025,05100,0.00,0.00,5041.13
0000003025,05500,0.00,0.00,9000.05
0000003025,06100,0.00,0.00,3127.38
0000003025,07100,0.00,0.00,1739.27
0000003025,07400,0.00,0.00,1325.16
0000003025,08100,0.00,0.00,5002.48
0000003025,09250,0.00,0.00,7610.84
0000003025,09500,0.00,0.00,2650.32
0000003025,09650,0.00,0.00,1766.88
0000003025,09900,0.00,0.00,3583.45
0000003025,15400,0.00,0.00,8171.82
0000003025,16000,0.00,0.00,3423.33
0000003025,25001,85.61,0.00,905.11
0000003025,25002,94.82,0.00,1003.88
0000003025,25003,0.00,0.00,136.97
0000003026,00400,5111.18,0.00,69000.07
0000003026,02220,0.00,0.00,22175.00
0000003026,06100,0.00,0.00,13000.00
0000003026,07000,0.00,0.00,44762.79
0000003026,07400,0.00,0.00,89875.00
0000003026,08000,0.00,0.00,22000.00
0000003026,25001,0.00,0.00,281.46
0000003026,25002,0.00,0.00,108.00
0000003026,25003,0.00,0.00,532.92
0000003026,25004,0.00,0.00,1611.27
0000003026,25005,0.00,0.00,504.46
0000003026,25006,0.00,0.00,60.00
0000003027,00400,0.00,0.00,7000.00
0000003027,02220,0.00,0.00,2730.00
0000003027,05100,0.00,0.00,11831.00
0000003027,05500,0.00,0.00,500.00
0000003027,06100,0.00,0.00,7195.00
0000003027,07210,0.00,0.00,400.00
0000003027,07460,0.00,0.00,6300.00
0000003027,08000,0.00,0.00,3210.00
0000003027,09200,0.00,0.00,3700.00
0000003027,09600,0.00,0.00,675.00
0000003027,09910,0.00,0.00,450.00
0000003027,12000,0.00,0.00,3995.00
0000003027,15000,0.00,0.00,14120.00
0000003027,16000,0.00,0.00,3665.00
0000003027,25001,0.00,0.00,-10285.00
0000003027,25002,0.00,0.00,-870.00
0000003027,25003,0.00,0.00,-265.40
0000003027,25004,0.00,0.00,296.18
