Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
13220,Drains et matériaux filtrants,Filter underdrains and media,,,41100,0.00,0.00
13230,Couvercles et accessoires de digesteur,Digester covers and appurtenances,,,41100,0.00,0.00
13240,Systèmes d'oxygénation,Oxygenation systems,,,41100,0.00,0.00
13260,Systèmes de conditionnement des boues,Sludge conditionning systems,,,41100,0.00,0.00
13280,Élimination de produits dangereux,Hazardous material remediation,,,41100,0.00,0.00
13400,Instrumentation de mesure et de contrôle,Measuring and control instrumentation,,,33500,0.00,0.00
13410,Matér. et méth. de base - mesure et commande,Basic mater. and meth. - measure and control,,,33500,0.00,0.00
13420,Instruments,Instruments,,,41100,0.00,0.00
13430,"Boîtiers, panneaux et centres de commande","Cases, panels control centers",,,41100,0.00,0.00
13440,"Indicateurs, enregistreurs et régulateurs","Indicators, recorders and regulators",,,41100,0.00,0.00
13450,Contrôle centralisé,Central control,,,41100,0.00,0.00
13480,Listes d'instruments et rapports,Lists of reports and instrumens,,,41100,0.00,0.00
13490,Mise en serv. du mesurage et de la régulation,Putting into service of measurement and regul,,,41100,0.00,0.00
13500,Instruments enregistreurs,Recording instrumentation,,,41100,0.00,0.00
13510,Enregistreurs de contraintes,Stress recorders,,,41100,0.00,0.00
13520,Enregistreurs de secousses sismiques,Seismic shock recorders,,,41100,0.00,0.00
13530,Enregistreurs de mesures météorologiques,Meteorological measurment recorders,,,41100,0.00,0.00
13550,Instrum. de commande de moyen de transport,Transportation control instrumentation,,,41100,0.00,0.00
13560,Instrumentation de commande d'aéroport,Airport instrumentation control,,,41100,0.00,0.00
13570,Instrumentation de commande de chemin de fer,Railroad instrumentation control,,,41100,0.00,0.00
13580,Instrumentation de commande de métro,Subway instrumentation control,,,41100,0.00,0.00
13590,Instrum. de commande de véhicule de transit,Transit vehicle instrumentation control,,,41100,0.00,0.00
