Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
00001,"Selon plans, devis et addendas Régis Côté",,,,,0.00,0.00
00002,et firme d'ingéniérie Pluritec,,,,,0.00,0.00
00050,Services gestion,,,,,0.00,0.00
00100,Administration,,,,,0.00,0.00
00101,Services architectes,,,,,0.00,0.00
00102,Services ingénieurs,,,,,0.00,0.00
00400,Conditions générales,,,,,0.00,0.00
00401,Cautionnement et assurances,,,,,0.00,0.00
00402,MOBILISATION,,,,33200,0.00,0.00
00403,COVID-19,,,,33200,0.00,0.00
00501,Allocation no. 1,,,,,0.00,0.00
00502,Allocation no. 2,,,,,0.00,0.00
00503,Allocation no. 3,,,,,0.00,0.00
00610,Inspection structurale,,,,,0.00,0.00
00650,Inspection étanchéité,,,,,0.00,0.00
01100,RÉSIDENTIEL,RESIDENTIAL,,,,0.00,0.00
01110,Construction neuve,New construction,,,,0.00,0.00
01115,Rénovation,Renovation,,,,0.00,0.00
01200,"COMMERCIAL, INDUSTRIEL, INSTITUTIONNEL","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",,,,0.00,0.00
01202,Construction neuve,New construction,,,,0.00,0.00
01250,Rénovation,Renovation,,,,0.00,0.00
01300,TRAVAUX DE GÉNIE CIVIL,ENGINEERING WORK,,,,0.00,0.00
01310,"Industrie lourde, complexe industriel","heavy industry, industrial complex",,,,0.00,0.00
01320,Usine de filtration et d'épuration des eaux,Filtration and water purification plant,,,,0.00,0.00
01330,Conduits souterrains,Underground ducts,,,,0.00,0.00
01340,Transport d'énergie - lignes aériennes,Energy transport - overhead cables,,,,0.00,0.00
01350,Métros et tunnels,Subways and tunnels,,,,0.00,0.00
01360,Oléoducs et pipe-lignes,Pipelines,,,,0.00,0.00
01370,Ouvrages ferroviaires,Railway works,,,,0.00,0.00
01380,Ouvrages hydro-électriques,Hydroelectric works,,,,0.00,0.00
01390,Ponts et viaducs,Bridges and overpass,,,,0.00,0.00
01400,Routes et travaux d'infrastructure,Roads and infrastructures,,,,0.00,0.00
01410,Travaux maritimes,Marine structures,,,,0.00,0.00
01420,Travaux sous-marins,Underwater structures,,,,0.00,0.00
01430,Déplacement de bâtiments,Building displacements,,,,0.00,0.00
01800,Nettoyage (conteneur),,,,,0.00,0.00
02000,TRAVAUX D'EMPLACEMENT,SITE CONSTRUCTION,,,,0.00,34046.26
02050,Matériaux et méthodes de base,Basic site materials and methods,,,,0.00,0.00
02055,Sols,Soils,,,,0.00,0.00
02060,Agrégats,Aggregates (granular matetials),,,,0.00,0.00
02065,Ciment et béton,Cement and conrete,,,33200,0.00,0.00
02070,Démolition sélective,Geosynthetic materials,,,,0.00,0.00
02080,Matériaux de services publics,Utility materials,,,,0.00,0.00
02090,Matériaux de joint,Joint materials,,,33200,0.00,0.00
02100,Restauration environnementale de l'emplacem.,Site remediation,,,,0.00,0.00
02110,Enlèvement et manutention de prod. dangereux,Removal and handling of hazardous materials,,,,0.00,0.00
02115,Enlèvement de réservoir souterrains,Underground storage tank removal,,,,0.00,0.00
02120,Transport hors de l'empl. et mise au rebut,Transport out of location and disposal,,,,0.00,0.00
02125,Manutention de barils,Handling of barrels,,,,0.00,0.00
02130,Décontamination de l'emplacement,Site decontamination,,,,0.00,0.00
02140,Construction de décharge et stockage,Dump and stocking construction,,,,0.00,0.00
02145,Système de traitement de l'eau souterrainne,Underground water treatement system,,,,0.00,0.00
02150,Processus de récupération de prod. dangereux,Recuperation process for dangerous prod.,,,,0.00,0.00
02160,Traitement physique,Physical treatment,,,,0.00,0.00
02170,Traitement chimique,Chemical treatment,,,,0.00,0.00
02180,Procédés thermiques,Thermal process,,,,0.00,0.00
02190,Procédés biologiques,Biological process,,,,0.00,0.00
02195,Restauration par stabilisation du sol,Restoration by soil stabilization,,,,0.00,0.00
02196,Décontamination et désamiantage,,,,,0.00,0.00
02200,Préparation de l'emplacement,Site preparation,,,,0.00,0.00
02210,Reconnaissance du sous-sol,Subsurface investigation,,,,0.00,0.00
02220,Travaux de démolition,Site demolition,,,,0.00,0.00
02225,Services géotechnique,,,,,0.00,0.00
02230,Déblaiement et déboisement de l'emplacement,Site clearing,,,,0.00,0.00
02240,Assèchement,Dewatering,,,,0.00,0.00
02250,Étaiement et reprise en sous-oeuvre,Shoring and underpinning,,,,0.00,0.00
02260,Étançonnement et protection d'excavation,Excavation support and protection,,,,0.00,0.00
02280,Ajustement du niveau du sol,Soil level ajustment,,,,0.00,0.00
02285,Reconstruction de petits ouvrages existants,Reconstruction of existing small jobs,,,,0.00,0.00
02290,Surveillance de l'emplacement,Site surveillance,,,,0.00,0.00
02300,Terrassement,EARTHWORK,,,33500,0.00,0.00
02310,Nivellement,Grading,,,33500,1.00,0.00
02315,Excavation et remplissage,Excavation and fill,,,33500,0.00,42493.28
02325,Dragage,Dredging,,,33500,0.00,0.00
02330,Talus,Embankment,,,33500,0.00,0.00
02335,Sous-fondation et assise de route,Sub-foundation and road foundation,,,33500,0.00,0.00
02340,Stabilisation du sol,Soil stabilization,,,33500,0.00,0.00
02360,Traitement du sol,Soil treatment,,,33500,0.00,0.00
02370,Contrôle de l'érosion et de la sédimentation,Erosion and sedimentation control,,,33500,0.00,0.00
02380,Protection contre l'affouillement,Protection against wash aways,,,33500,0.00,0.00
02390,Protection du littoral / struct. de mouillage,Shore protection / moorings structures,,,33500,0.00,0.00
02400,"Creusage de tunnel, forage et vérinage","Tunnelling, boring and jacking",,,33500,0.00,0.00
02410,Excavation de tunnel,Tunnel excavation,,,33500,0.00,0.00
02420,Systèmes de support initial de tunnel,Initial tunnel support system,,,33500,0.00,0.00
02425,Blindages de tunnel,Tunnel linings,,,33500,0.00,0.00
02430,Injection de tunnel au coulis,Tunnel grouting,,,33500,0.00,0.00
02440,Tunnels en tubes coulés et immergés,Submerged tubalar tunnel cast,,,33500,0.00,0.00
02441,Creusage de microtunnel,Mircotunneling,,,33500,0.00,0.00
02442,Tunnels en tranchée couverte,Covered trenches tunnels,,,33500,0.00,0.00
02443,Réparations de fuite dans un tunnel,Tunnel leak repairs,,,33500,0.00,0.00
02444,Construction de puits verticaux,Vertical well construction,,,33500,0.00,0.00
02445,Conduits de forage ou de vérinage,Boring or jacking conduits,,,33500,0.00,0.00
02450,Fondations et éléments portants,Foundation and load-bearing elements,,,33500,0.00,0.00
02455,Pieux foncés,Driven piles,,,33500,0.00,0.00
02465,Pieux forés,Bored piles,,,33500,0.00,0.00
02475,Caissons,Coffers,,,33500,0.00,0.00
02480,Murs de fondations,Foundation walls,,,33500,0.00,0.00
02490,Ancrages,Anchoring,,,,0.00,0.00
02495,Instrumentation et surveillance,Instrumentation and surveillance,,,33500,0.00,0.00
02500,Services publics,Utility services,,,,0.00,0.00
02510,Réseau de distribution d'eau,Water distribution network,,,33500,0.00,0.00
02520,Puits,Well,,,33500,0.00,0.00
02530,Système d'égout sanitaire,Sanitary sewer system,,,33500,0.00,0.00
02540,Systèmes de fosse septique,Septic tank systems,,,33500,0.00,0.00
02550,Canalisations de distribution d'énergie,Energy distribution pipes,,,33500,0.00,0.00
02570,Structures de distr. de matériaux de procédé,Distribution structures of process materials,,,33500,0.00,0.00
02580,Structures de réseau électrique et de comm.,Electrical network structures and comm.,,,33500,0.00,0.00
02590,Mise à la terre d'élément de l'emplacement,Grounding of location elements,,,33500,0.00,0.00
02600,Drainage et confinement,Draining and confinement,,,33500,0.00,0.00
02610,Ponceaux tubulaires,Tubular culvert,,,33500,0.00,0.00
02620,Drainage souterrain,Underground draining,,,33500,0.00,0.00
02630,Drainage pluvial,Draining rain water,,,33500,0.00,0.00
02640,Ponceaux et coinstruction usinés,Machined construction and culvert,,,33500,0.00,0.00
02660,Bassins et réservoirs,Basins and reservoirs,,,33500,0.00,0.00
02670,Marécages artificiels,Artificial marsh,,,33500,0.00,0.00
02700,"Couches de base, ballasts, revêtements","Basic layers, ballats, surfaces",,,33500,0.00,0.00
02720,Couches de bases non liées et ballasts,Non binding basic layers and ballasts,,,,0.00,0.00
02730,Couche de surface d'agrégats,Agglomerate surface layer,,,,0.00,0.00
02740,Revêtement de chaussée flexible,Flexible pavement surface,,,33500,0.00,0.00
02750,Revêtement de chaussée rigide,Rigid surface pavement,,,33500,0.00,0.00
02755,Accotement en béton de ciment,Cement and concrete shoulder,,,,0.00,0.00
02760,Accessoires de revêtement de chaussée,Surface and pavement accessories,,,,0.00,0.00
02770,Bordures et caniveaux,Borders and gutters,,,,0.00,0.00
02775,Trottoirs,Sidewalks,,,,0.00,0.00
02780,Pavés usinés,Machined pavement,,,,0.00,0.00
02785,Enduit de revêtement flex. et micro-surfaçage,Flexible surface coating and micro-surfacing,,,,0.00,0.00
02790,Surface d'athlétisme et de sport,Athletic and sport surface,,,,0.00,0.00
02795,Revêtement de chaussée poreux,Porous suface pavement,,,33500,0.00,0.00
02800,Aménagement ext. et accessoires d'aménagement,Exterior planning and planning accessories,,,,0.00,0.00
02810,Systèmes d'irrigation,Irrigation systems,,,,0.00,0.00
02815,Fontaines,Fountains,,,,0.00,0.00
02820,Clôtures et barrières,Fences and barriers,,,,0.00,0.00
02830,Murs de soutènement,Retaining wall,,,,0.00,0.00
02840,"Équipements d'allée, chaussée et stationnemen","Path, pavement and parking equipment",,,,0.00,0.00
02850,Ponts préfabriqués,Prefabricated bridges,,,,0.00,0.00
02860,Dispositifs d'écran,Screen device,,,,0.00,0.00
02870,Ameublement et accessoires d'emplacement,Site furniture and accessories,,,,0.00,0.00
02875,Abris de rue et d'emplacement,Street and site shelter,,,,0.00,0.00
02880,Structures et équipement de terrain de sport,Sports field equipment and structures,,,,0.00,0.00
02890,Signalisation et signaux de circ. routière,Signalling system and road signs,,,,0.00,0.00
02895,Bornes et monuments,Markers and monuments,,,,0.00,0.00
02900,Plantations,Plantations,,,,0.00,0.00
02905,"Plants, plantation et transplantation","Seedlings, plantation and transplantation",,,,0.00,0.00
02910,Préparation de la plantation,Plantation preparation,,,,0.00,0.00
02915,Transplantation d'arbres et d'arbustres,Transplantation of trees and shrubs,,,,0.00,0.00
02920,Pelouses et gazons,Lawns and grass,,,,0.00,0.00
02930,Plants d'extérieur,Exterior seedlings,,,,0.00,0.00
02935,Entretien des plants,Seedlings maintenance,,,,0.00,0.00
02945,Accessoires de plantation,Plantation accessories,,,,0.00,0.00
02950,Restauration et réhabilitation d'emplacement,Site restoration and rehabilitation,,,,0.00,0.00
02955,Restauration de canal. et d'él. souterrains,Channeling restoration and underground elem.,,,,0.00,0.00
02960,Récup. et surfaçage de revêtement flexible,Recuperation and flexible surfacing lining,,,,0.00,0.00
02965,Recycl. de revêtement bitumineux et flex.,Recyclable bituminous and flexible lining,,,,0.00,0.00
02975,Renforcement de revêtement flex. et bitum.,Reinforcement of flexible and bitum lining,,,,0.00,0.00
02980,Réhabilitation de revêtement rigide,Rehabilitation of rigid surface,,,,0.00,0.00
02990,Déplacement de structure,Moving of structures,,,,0.00,0.00
03000,BÉTON,CONCRETE,,,,10500.00,121205.35
03050,Matériaux et méth. de base relatifs au béton,Basic concrete methods and materials,,,,0.00,0.00
03100,Coffrages et accessoires à béton,Concrete form and accessories,,,,0.00,0.00
03110,Coffrages de béton structural coulé en place,Structural cast-in-place concrete formwork,,,33500,0.00,0.00
03120,Coffrages de béton architect. coulé en place,Archit. concrete formwork poured in place,,,33500,0.00,0.00
03130,Coffrages permanents,Permanent formworks,,,33500,0.00,0.00
03150,Accessoires à béton,Concrete accessories,,,,0.00,0.00
03200,Armatures à béton,Concrete Reinforcement,,,,0.00,0.00
03210,Acier d'armature,Reinforcing steel,,,33500,0.00,0.00
03220,Treillis soudé,Welded wire fabric,,,,0.00,0.00
03230,Tendons de mise en tension,Stressing tendons,,,,0.00,0.00
03240,Renforcement de fibres,Fibre reinforcement,,,,0.00,0.00
03250,Post-tension,post-tensioning,,,,0.00,0.00
03300,Béton coulé en place,Cast-in-place concrete,,,,0.00,0.00
03310,Béton structural,Structural concrete,,,,0.00,0.00
03330,Béton architectural,Architectural concrete,,,,0.00,0.00
03340,Béton léger,Low density concrete,,,,0.00,0.00
03350,Finissage de béton,Concrete  finishing,,,,0.00,0.00
03360,Finitions de béton,Concrete finishes,,,,0.00,0.00
03370,Mise en place spéciale de béton,Specially placed  concrete,,,,0.00,0.00
03380,Béton précontraint par post-tension,Post-tensioned concrete,,,,0.00,0.00
03390,Mûrissement du béton,Concrete curing,,,,0.00,0.00
03400,Éléments de béton préfabriqués,Precast concrete,,,,0.00,0.00
03410,Béton struct. préfabriqué en usine,Plant-precast structural concrete,,,,0.00,0.00
03420,Béton struct. précontraint préfabr. en usine,Plant-precast struc. post-tensioned concrete,,,,0.00,0.00
03430,Béton struct. préfabriqué au chantier,On site prefabricated structural concrete,,,,0.00,0.00
03450,Béton architectural préfabriqué en usine,Plant-precast architectural concrete,,,,0.00,0.00
03460,Béton architectural préfabriqué au chantier,On site prefabricated architectural concrete,,,,0.00,0.00
03470,Él. de béton préfabr.mis en place par relèv.,Prefab. concr. put in place by superelevation,,,,0.00,0.00
03480,Éléments particuliers de béton préfabriqués,Precast concrete specialties,,,,0.00,0.00
03490,Béton préfabriqué renforcé de fibre de verre,Glass-fiber-reinforced precast concrete,,,,0.00,0.00
03500,Platelages et sous-finition cimentaire,Cementitious decks and underlayment,,,,0.00,0.00
03510,Platelage de toiture cimentaire,Cementitious roof decking,,,,0.00,0.00
03520,Béton léger d'isolation de toit,Lightweight concrete roof  insulation,,,,0.00,0.00
03530,Chape de béton,Concrete topping,,,,0.00,0.00
03540,Sous-finition cimentaire,Cementitious underlayment,,,,0.00,0.00
03600,Coulis,Grout,,,,0.00,0.00
03700,Béton de masse,Mass concrete,,,,0.00,0.00
03900,Réparation et nettoyage de béton,Concrete restoration and cleaning,,,,0.00,0.00
03910,Nettoyage de béton,Concrete cleaning,,,,0.00,0.00
03920,Resurfaçage de béton,Concrete  resurfacing,,,,0.00,0.00
03930,Réparation de béton,Concrete rehabilitation,,,,0.00,0.00
04000,MAÇONNERIE,MASONRY,,,33500,6335.00,9669.10
04050,Matériaux et méthodes de base - maçonnerie,Basic masonry materials and methods,,,,0.00,0.00
04060,Mortier à maçonnerie,Masonry mortar,,,,0.00,0.00
04070,Coulis pour maçonnerie,Masonry grout,,,,0.00,0.00
04080,Armatures et ancrages à maçonnerie,Masonry anchorage and reinforcement,,,33500,0.00,0.00
04090,Accessoires à maçonnerie,Masonry accessories,,,,0.00,0.00
04200,Éléments de maçonnerie,Masonry units,,,,0.00,0.00
04210,Éléments de maçonnerie d'argile,Clay masonry units,,,,0.00,0.00
04220,Éléments de maçonnerie de béton,Concrete masonry units,,,,0.00,0.00
04230,Éléments de maçonnerie silico-calcaire,Masonry sand-lime units,,,,0.00,0.00
04270,Éléments de maçonnerie de verre,Glass masonry units,,,,0.00,0.00
04290,Éléments de maçonnerie d'adobe,Masonry adobe elements,,,,0.00,0.00
04400,Pierre,Stone,,,,0.00,0.00
04410,Matériaux de pierre,Stone materials,,,,0.00,0.00
04412,Granite,Granite,,,,0.00,0.00
04413,Calcaire,Limestone,,,,0.00,0.00
04414,Marbre,Marble,,,,0.00,0.00
04416,Pierre de taille,Sandstone,,,,0.00,0.00
04420,Pierre ramassée,Gathered stones,,,,0.00,0.00
04430,Pierre de carrière,Quarry stone,,,,0.00,0.00
04500,Maçonnerie réfractaire,Masonry refactories,,,,0.00,0.00
04550,Boisseaux à fumée,Smoked flue liner,,,,0.00,0.00
04560,Chambres de combustion,Combustion chamber,,,,0.00,0.00
04570,Matériaux réfractaires moulables,Refractory forming materials,,,,0.00,0.00
04580,Brique réfractaire,Refractory brick,,,,0.00,0.00
04600,Maçonnerie anticorrosion,Corrosion-resistant masonry,,,,0.00,0.00
04610,Brique anticorrosion,Anticorrosive bricks,,,,0.00,0.00
04620,Plaques de revêtement d'argile vitrifiée,Plates of surface unglazed loam,,,,0.00,0.00
04700,Similimaçonnerie,Simulated masonry,,,,0.00,0.00
04710,Similibrique,Simulated brick,,,,0.00,0.00
04720,Pierre moulée,Synthetic stone,,,,0.00,0.00
04730,Pierre artificielle,Simulated stone,,,,0.00,0.00
04800,Assemblages de maçonnerie,Masonry assemblies,,,,0.00,0.00
04810,Assemblage d'éléments de maçonnerie,Unit masonry assemblies,,,,0.00,0.00
04820,Assemblage de maçonnerie d'éléments armés,Reinforced masonry assembly,,,,0.00,0.00
04830,Assemblage de maçonnerie d'éléments non armés,Non-einforced masonry assembly,,,,0.00,0.00
04840,Panneaux préfabriqués de maçonnerie,Prefabricated masonry panels,,,,0.00,0.00
04850,Assemblages de pierre,Stone assembly,,,,0.00,0.00
04880,Foyers de maçonnerie,Masonry fireplaces,,,,0.00,0.00
04900,Réfection et nettoyage de maçonnerie,Masonry restoration and cleaning,,,,0.00,0.00
04910,Restauration d'éléments de maçonnerie,Restoration of masonry elements,,,,0.00,0.00
04920,Restauration de pierre,Stone restoration,,,,0.00,0.00
04930,Nettoyage d'éléments de maçonnerie,Cleaning masonry units,,,,0.00,0.00
04940,Nettoyage de pierre,Stone cleaning,,,,0.00,0.00
05000,MÉTAL,METAL,,,,340.00,0.00
05050,Matériaux et méthodes de base - métal,Basic metal materials and methods,,,41100,0.00,0.00
05060,Matériaux métalliques,Metal materials,,,,0.00,0.00
05080,Revêtements de métal appliqué en usine,Factory applied metal surfacing,,,,0.00,0.00
05090,Fixations métalliques,Metal  fastenings,,,,0.00,0.00
05100,Charpentes métalliques,Structural metal framing,,,,0.00,0.00
05120,Acier de construction,Structural steel,,,33500,0.00,2380.00
05140,Aluminium de construction,Structural aluminum,,,,0.00,0.00
05150,Assemblages à câble,Cable assembly,,,,0.00,0.00
05160,Systèmes de charpente métallique,Metal framing systems,,,,0.00,0.00
05200,Poutrelles métalliques,Metal joists,,,,0.00,0.00
05210,Poutrelles d'acier,Steel joists,,,,0.00,0.00
05250,Poutrelles d'aluminium,Aluminum joists,,,,0.00,0.00
05260,Assemblages à solives composites,Composite joist assembly,,,,0.00,0.00
05300,Platelage métallique,Metal deck,,,,0.00,0.00
05310,Platelage en acier,Steel deck,,,,0.00,0.00
05320,Platelage à caniveaux,Chase deck,,,,0.00,0.00
05330,Platelage en aluminium,Aluminium chase,,,,0.00,0.00
05340,Platelage métallique acoustique,Acoustic metal decking,,,,0.00,0.00
05400,Charpentes métal.en éléments profilés à froid,Cold profiled metal framework elements,,,,0.00,0.00
05410,Montants métalliques portants,Load-bearing metal stub systemes,,,,0.00,0.00
05420,Solives métalliques écrouies à froid,Cold nutted metal joist,,,,0.00,0.00
05430,Charpente de profilés à ouvertures ovalisées,Profiled cammed openings framework,,,,0.00,0.00
05450,Supports métalliques,Metal supports,,,,0.00,0.00
05500,Métaux ouvrés,Metal fabrications,,,,540.00,101560.48
05510,Escaliers et paliers métalliques,Metal stairs and labbers,,,,0.00,0.00
05520,Mains courantes et balustrades,Handrails and railings,,,,0.00,0.00
05530,Grilles,Gratings,,,,0.00,0.00
05540,Plaques de plancher,Floor plates,,,,0.00,0.00
05550,Girons et nez de marches,Stair treads and nosings,,,,0.00,0.00
05560,Pièces métalliques coulées,Casting metal pieces,,,,0.00,0.00
05580,Pièces métalliques matricées,Formed metal fabrications,,,,0.00,0.00
05600,Pièces métalliques d'ouvrage hydraulique,Hydraulic fabrications,,,,0.00,0.00
05650,Rails de chemin de fer et accessoires,Railroad tracks and accessories,,,,0.00,0.00
05700,Métal ornemental,Ornemetal metal,,,,0.00,0.00
05710,Escaliers ornementaux,Ornemental staircases,,,,0.00,0.00
05715,Escaliers hélicoïdaux fabriqués,Fabricated spiral stairs,,,,0.00,0.00
05720,Mains courantes et balustrades ornementales,Ornemental handrails and railings,,,,0.00,0.00
05725,Pièces de fonderie ornementales,Ornamental foundary pieces,,,,0.00,0.00
05730,Métal ornemental matricé,Ornemental formed metal,,,,0.00,0.00
05740,Métal ornemental forgé,Forged ornemental metal,,,,0.00,0.00
05800,Joints de dilatation,Expansion control,,,,0.00,0.00
05810,Couvre-joints de dilatation,Expansion cover strip,,,,0.00,0.00
05820,Appuis coulissants,Sliding supports,,,41100,0.00,0.00
05830,Joints de dilatation de ponts,Bridge expansion bellows,,,,0.00,0.00
05900,Restauration et nettoyage de métal,Metal restoration and cleaning,,,,0.00,0.00
06000,BOIS ET PLASTIQUES,WOOD AND PLACTICS,,,,0.00,0.00
06050,Matériaux et méth. de base- bois et plastique,Basic materials and meth.- wood and plastic,,,,0.00,0.00
06060,Matériaux de bois,Wood materials,,,33500,0.00,0.00
06065,Matériaux de plastique,Plastic materials,,,41100,0.00,0.00
06070,Traitement du bois,Wood treatment,,,41100,0.00,0.00
06080,Revêtements de bois appliqué en usine,Factory applied wood surfacing,,,41100,0.00,0.00
06090,Attaches pour le bois et le plastique,Wood and plastic fastenings,,,41100,0.00,0.00
06100,Charpenterie,Rough carpentry,,,,37050.00,59919.21
06101,Charpenterie (main-d'oeuvre),,,,,0.00,0.00
06110,Ossatures de bois,Wood  framing,,,41100,0.00,0.00
06120,Panneaux structuraux,Structural panels,,,41100,0.00,0.00
06130,Construction en gros bois d'oeuvre,Heavy timber construction,,,41100,0.00,0.00
06140,Fondations en bois traité,Treated wood foundations,,,41100,0.00,0.00
06150,Platelages en bois d'oeuvre,Wood decking,,,41100,0.00,0.00
06160,Revêtement intermédiaires,Sheathing,,,41100,0.00,0.00
06170,Bois de charpente préfabriquée,Prefabricated structural wood,,,33200,0.00,0.00
06180,Construction en lamellé-collé,Glued-laminated construction,,,33200,0.00,0.00
06200,Menuiserie,Finish carpentry,,,33500,0.00,0.00
06220,Ouvrages de menuiserie,Millwork,,,33500,0.00,0.00
06250,Lambris préfinis,Prefinished paneling,,,33200,0.00,0.00
06260,Lambris de planches,Board paneling,,,41100,0.00,0.00
06270,Rayonnage en bois de penderie et d'armoire,Wardrobe and cupboard wood shelving,,,41100,0.00,0.00
06400,Ébénisterie,Architectural woodwork,,,,0.00,77767.37
06410,Armoires fabriquées sur mesure,Custom cabinets,,,41100,0.00,0.00
06415,Dessus de comptoir,Flat top cabinet,,,41100,0.00,0.00
06420,Lambris,Wainscot,,,41100,0.00,0.00
06430,Escaliers et balustrades en bois,Wooden staircases and banisters,,,41100,0.00,0.00
06440,Ornementations en bois,Wooden ornements,,,41100,0.00,0.00
06445,Ornementation de similibois,Wood imitation and ornements,,,41100,0.00,0.00
06450,Moulures décoratives verticales et horiz.,Horizontal and vertical decorative moulding,,,41100,0.00,0.00
06455,Moulures de similibois,Wood imitation moulding,,,41100,0.00,0.00
06460,Cadres de bois,Wooden frames,,,41100,0.00,0.00
06470,"Écrans, stores et persiennes","Screens, blinds and shutters",,,41100,0.00,0.00
06500,Éléments structuraux en plastique,Structural plastics,,,41100,0.00,0.00
06510,Profilés et plaques structuraux de plastique,Shaped and structural plastic plates,,,41100,0.00,0.00
06520,Assemblages structuraux de plastique,Plastic structural assembly,,,41100,0.00,0.00
06600,Plastiques ouvrés,Plastic fabrications,,,41100,0.00,0.00
06900,Restauration et nettoyage de bois & plastique,Wood and plastic restoration and cleaning,,,41100,0.00,0.00
06910,Restauration et nettoyage de bois,Restoration and cleaning of wood,,,41100,0.00,0.00
06920,Restauration et nettoyage de plastique,Restoration and cleaning of plastic,,,41100,0.00,0.00
07000,ISOLATION THERMIQUE ET ÉTANCHÉITÉ,THERMAL AND MOISTURE PROTECTION,,,33500,58413.40,0.00
07050,Mat.et méth.de base - isol.therm.& étanchéité,Basic therm. & moisture protec. mat. & meth.,,,41100,0.00,0.00
07100,Hydrofugation et imperméabilisation,Dampproofing and waterproofing,,,41100,0.00,0.00
07110,Hydrofugation,Dampproofing,,,41100,0.00,0.00
07120,Imperméabilisation bitumineuse multicouche,Waterproofing multi-ply bituminous,,,41100,0.00,0.00
07130,Imperméabilisation en feuilles,Sheet waterproofing,,,41100,0.00,0.00
07140,Imperméabilisation appliquée à l'état liquide,Fuild applied waterproofing,,,41100,0.00,0.00
07150,Imperméabilisation en tôle métallique,Sheet metal waterprooling,,,41100,0.00,0.00
07160,Imperméabilisation cimentaire et réactive,Cementitous and reactive waterprooling,,,41100,0.00,0.00
07170,Imperméabilisation à la bentonite,Clay mineral proofing,,,41100,0.00,0.00
07180,Enduit d'aire de circulation,Trafic coatings,,,41100,0.00,0.00
07190,Hydrofuges,Water repellent,,,41100,0.00,0.00
07200,Isolation thermique,Thermal protection,,,33500,0.00,0.00
07210,Isolants de bâtiment,Building insulation,,,,0.00,0.00
07220,Isolants de toiture et de platelage,Roof and deck insulation,,,41100,0.00,0.00
07240,Syst. d'isolation et de finition ext.,Ext. finish and insulation systems,,,,0.00,0.00
07260,Pare-vapeurs,Vapour barrier,,,41100,0.00,0.00
07270,Pare-airs,Air barriers,,,41100,0.00,0.00
07300,"Bardeaux, tuiles de revêtements de toit","Shingles, roofing tiles and roof coverings",,,41100,0.00,0.00
07310,Bardeaux,Shingles,,,,828000.00,0.00
07320,Tuiles de toit,Roof tiles,,,41100,0.00,0.00
07330,Revêtements de toit,Roof lining,,,,0.00,0.00
07400,Panneaux de couverture et de revêtement mural,Roofing and siding panels,,,41100,8693.47,0.00
07410,Panneaux de toit et de mur métalliques,Metal roof and wall panels,,,33500,0.00,0.00
07420,Panneaux de toit et de mur en plastique,Plastic roof ans wall panels,,,41100,0.00,0.00
07430,Panneaux composites,Composite panels,,,41100,0.00,0.00
07440,Panneaux revêtus,Coated panels,,,41100,0.00,0.00
07450,Panneaux cimentaires renforcés de fibre,Fibre reinforced cement panels,,,41100,0.00,0.00
07460,Revêtement mural,Siding,,,,14770.40,25106.39
07469,Enduit acrylique,,,,,0.00,0.00
07470,Panneaux de toit et de mur en bois,Wooden roof and wall panels,,,41100,0.00,0.00
07480,Assemblages de mur extérieur,Exterior wall assemblyies,,,41100,0.00,0.00
07500,Couverture à membrane,Membrane roofing,,,33500,84206.00,0.00
07510,Couverture bitumineuse multicouche,Built-up bituminous roofing,,,41100,85850.00,0.00
07520,Couverture bitumineuse appliquée à froid,Cold- applied bituminous roofing,,,41100,0.00,0.00
07530,Couverture de membrane élastomère,Elastomere roofing membrane,,,33500,0.00,0.00
07540,Couverture de membrane thermoplastique,Thermoplastic membrane roofing,,,41100,0.00,0.00
07550,Couverture à membrane de bitume modifié,Modified bituminous membrane roofing,,,41100,0.00,0.00
07560,Couverture appliquée à l'état liquide,Liquid applied roofing,,,41100,0.00,0.00
07570,Couverture en mousse revêtue,Foam surfaced roofing,,,41100,0.00,0.00
07580,Couverture en rouleaux,Roll roofing,,,41100,0.00,0.00
07590,Entretien et réparation de toit,Roof maintenance and repairs,,,41100,0.00,0.00
07600,"Solins, contre-solins et métal en feuilles","Flashing, counterflashing and sheet metal",,,,0.00,0.00
07610,Couverture de tôle,Sheet metal roofing,,,41100,0.00,0.00
07620,Solins et garnitures de tôle,Sheet metal flashing trim,,,41100,0.00,0.00
07630,Accessoires de couverture de tôle,Sheet metal roofing specialties,,,41100,0.00,0.00
07650,Solins souples,Supple flashings,,,41100,0.00,0.00
07700,Articles spéciaux et accessoires de toit,Roof specialties and accessories,,,41100,0.00,0.00
07710,Articles spéciaux de toit préfabriqués,Manufactured roof specialties,,,41100,0.00,0.00
07720,Accessoires de toit,Roof accessories,,,33500,0.00,0.00
07760,Dallages de toit,Roof pavers,,,41100,0.00,0.00
07800,Protection contre le feu et la fumée,,,,,0.00,0.00
07810,IGNIFUGE,,,,33500,0.00,0.00
07820,Ignifugation en planches,Board fire-proofing,,,33500,0.00,0.00
07840,Dispositifs coupe-feu,Firestopping,,,41100,0.00,0.00
07860,Garnitures d'étanchéité à la fumée,Smoke airtightness trimings,,,41100,0.00,0.00
